text,id,dump,url,date,file_path,language,language_score,token_count,IS_NEWS
"|Viewing Single Post From: Spoilers for the Week of February 11th|
|Lil||Feb 1 2013, 09:58 AM|
Don't care about Chloe/Taniel/Jen-Jen. Don't care about Sami, really, but hoping that we get some good ""SAMANTHA GENE!!"" Marlena Death-Stares out of it. And ""newfound"" feelings. Please. If only.
STEFANO!! STEFANO, STEFANO, STEFANO!!!! :cheer:
|Spoilers for the Week of February 11th · DAYS: News, Spoilers & Discussion|",<urn:uuid:39147604-bfbe-4ed5-b19c-54105f8ae8a7>,CC-MAIN-2013-20,http://daytimeroyaltyonline.com/single/?p=8906650&t=8780053,2013-05-18T05:48:59Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.8232095837593079,142,False
"*sigh* Fundamentalist community, let me pass on some advice to you I learned from the atheistic community:
If you have set yourself on fire, do not run.
Okay? Okay?? Please?
Look, D, you had two months to say to Harvard in private emails, ""Im sorry, I shouldnt have been using that animation in my paid presentations. I wont use it again. I really do like 'Inner Life', though, and would love to use it in classroom presentations, from the BioVisions site, if that is acceptable.""
I sat here, for two months, waiting for that to happen, anything to happen, and it didnt. Two months, on your own terms, you could have written a similar post to yesterdays. I would have given you the benefit of the doubt-- maybe you didnt know the credits werent visible to the audience, and I wouldnt have said a word beyond this, as its Harvards problem, not mine. This would have been a funny joke to those of us involved in dealing with you people, but it would have been a PR non-issue for you.
But after you set yourself on fire, you didnt douse it out with a bucket of ice cold reality and accountability. You ran. And youre still running.
Why not just state ""I screwed up. Sorry everyone."" and move on? Why the excuses? Why the denial? Why the passive language? Why the vague words and cryptic capitalizations? Why the writes and rewrites of your 'press release'? We know it wasnt written of your own volition, or it would have been done *before* Harvard had to take action. And, your behavior before this, regarding this issue, is not indicative of someone who made an innocent mistake. Its weird.
So what with this frantic running? Is the inability to say ""I was wrong"" a pathological feature of Creationists? Or are you hiding something? Or is it both? Or is it more?
And now we get Casey weighing in on the issue, according to cre8id at AboveTopSecret.com-- PBS/NOVA online - Intelligent Design on trial:
...to my knowledge, Discovery Institute has neither authorized nor received nor is making use of any presentation that used that animation. We have had nothing to do with creating or selling a DVD of that animation, nor do we have anything to do with placing that presentation on Google Video.I dont know what he is talking about with that last part, but the first part sounds similar to DIs claims post-Dover (""WE HAD NOTHING TO DO WITH DOVER!""). Maybe Luskin is telling the truth. Maybe this was a magic non-science Creation-friendly narration with convenient edits that AiG or ICR would have killed for... but only Dembski could find it... but he cant tell us where... and he didnt share it with anyone... and its subsequently disappeared from the Internet...
But that simply isnt what Ive been told. Maybe this was all a silly Dembski mistake, blown out of proportion due to his decision to remain silent... But what if we find more videos of more DI fellows, presenting this animation?
*shrug* If youve set yourself on fire, do not run, DI. If youve done it, better admit it to Harvard now, apologize, and move on.",<urn:uuid:ba819eb7-e6e6-415a-87f4-0347b6a4f017>,CC-MAIN-2013-20,http://endogenousretrovirus.blogspot.com/2007/11/if-you-have-set-yourself-on-fire-do-not.html?showComment=1196270520000,2013-05-18T06:43:03Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.9737711548805237,703,False
"A novel two-step immunotherapy approach has shown clinically beneficial responses in patients with advanced ovarian cancer. Following Lifestyle Recommendations Reduces Risk of Cancer Death
People who follow the diet and lifestyle recommendations laid out by the WCRF and the AICR have a 20 percent reduced risk of dying from cancer. UCSF Launches Social Networking Site for Patients and Families with Hereditary Cancers
For Immediate Release May 14, 2013 UCSF Launches Social Networking Site for Patients and Families... Genomic Test May Help Guide Prostate Cancer Treatment
The Oncotype DX® Prostate Cancer Test strongly predicts aggressiveness of disease. Statins Linked to Lower Risk of Liver Cancer in Hepatitis C
People infected with chronic hepatitis C are less likely to develop liver cancer if they are taking statins.
Radioimmunotherapy (RIT) is a type of targeted therapy that delivers radiation directly to cancer cells.... Urinary Incontinence
Overview The urinary tract includes the kidneys, the ureters, the bladder, and the urethra. The kidneys... Advanced Directives
Living Wills Every competent adult has, in most cases, the freedom to accept or refuse medical treatment.... Caregivers
What is Caregiving and Who are Caregivers? Caregivers are individuals who provide care to chronically... Chemotherapy for Older Patients: What You Should Know About the Risk of Infection
As you may already know, chemotherapy works by attacking the rapidly dividing cells it finds in the body,...
An ongoing series highlighting complementary therapies, adapted from The Complete Guide to Complementary... Clear and precise
Mohs surgery provides a tissue-sparing approach to skin cancer surgery. By Eleanor Mayfield Michele Kelsey... Chemical Reaction
Chemicals may be disrupting our hormones—and our health. By Laurie Wertich Exposure to synthetic chemicals... College Kids Kick Cancer
By Diana Price College kids and cancer—not two topics most of us would immediately connect. And yet... Cooking with Fruits and Vegetables
In the introduction to Ripe: A Fresh, Colorful Approach to Fruits and Vegetables (Running Press, 2011;...
Annual meeting brings together cancer experts from around the world. Kari Bohlke, ScD The 2011 Annual... Bone Fractures in Breast Cancer Patients More Frequent with Femara than with Tamoxifen
Researchers affiliated with the BIG I-98 Collaborative and International Breast Study Groups... Single Treatment with High-intensity Focused Ultrasound Effective for Localized Prostate Cancer
Researchers from McMaster University in Canada have reported that high-intensity focused... Marital Separation Impacts Cancer Survival
Researchers from the University of Indiana and the Fox Chase Cancer Center... 2009 Oncology Conference Coverage View up-to-date coverage of the 2009 Oncology Conference here.",<urn:uuid:07b8e00d-b445-4736-a593-cd1c147dce21>,CC-MAIN-2013-20,http://news.cancerconnect.com/,2013-05-18T05:23:15Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.8727087378501892,576,True
"Free the Cans! Working Together to Reduce Waste
In a blog about how people share, it’s worth the occasional reference to the bizarre ways that people DON’T SHARE. Is it safe to say we live in a society that places great value on independence, private property, personal space, and privacy? Even sometimes extreme value? Is that why people at an 8-unit apartment building in Oakland, CA have separate caged stalls for eight separate trash cans? I know it’s not nice to stare, but I walked by these incarcerated cans and could not help myself. I returned with my camera, so that I could share my question with the world: Why can’t people share trash cans or a single dumpster? Or, at the very least, why can’t the cans share driveway space?
The Zero Waste Movement has come to the Bay Area and it calls for a new use for these eight cages. Here are my suggestions:
- Turn two of those cages into compost bins. Fill one with grass, leaves, and vegetable scraps, let it decompose for six months, then start filling the second bin in the meantime.
- Put in a green can, which is what Oakland uses to collect milk cartons, pizza boxes, yard trimmings, and all food to send it to the municipal composting facility. If your city doesn’t do this yet, tell them it’s a great idea and they could be as cool and cutting edge as Oakland.
- Put in one or two recycling cans for glass, plastic, cardboard, paper, aluminum, etc.
- Put out a FREE STUFF box for unwanted clothing and household items. The neighbors could sort through it each week, and later put it out on the curb for passers-by to explore. Take what’s left to Goodwill or a comparable donation spot.
- Put in a few small bins for various items that can be recycled, such asbatteries and electronics, which can then be taken to an electronics recycling center every month or two. Styrofoam can be brought to a local packaging store or ceramics business that accepts used packaging material. Or, if you accumulate a bunch of plastic bags,take them to a store or to some other place that accepts used ones.
- Put in ONE trash can. By the time you compost, recycle, re-use, redistribute, and take a few other measures to reduce your waste, you’ll have almost no trash each week.
- Install a bicycle rack or locked bicycle cage.
- With the leftover space, put in a container garden and a bench where neighbors can gather and chat. A much more pleasant alternative to the garbage can jailhouse ambiance, wouldn’t you agree?",<urn:uuid:c970d9a2-a5ce-4050-9ea3-58d7bbd609a8>,CC-MAIN-2013-20,http://sharingsolution.com/2009/05/23/free-the-cans-working-together-to-reduce-waste/,2013-05-18T05:49:03Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.9323602318763733,575,False
"ORLANDO, Fla. — While the Rapid Recall Exchange, the 2-year-old industry recall portal, has signed up more than 600 manufacturer and retailer subscribers, it still lacks the “critical mass” of suppliers that would make it a primary source of recall information, according to trade association officials and retailers.
Manufacturers use the exchange to communicate timely and accurate product recall and withdrawal notifications to retailer and wholesaler headquarters, which in turn share the information with individual stores. The exchange's retail membership represents 85% of U.S. grocery volume — including 21 of the 24 largest supermarket chains based in the United States — but it still lacks key suppliers, especially in the fresh food sectors, said Pat Walsh, senior vice president, industry relations, education and research for Food Marketing Institute, Arlington, Va.
“We have good penetration [among manufacturers] on the dry grocery side — though it needs to be better — and need to expand in other fresh food verticals like meat, produce, deli and bakery,” said Walsh, who participated in a session on the RRE at the U Connect Live conference here earlier this month.
Major food distributors in the exchange, including Kroger, Wegmans and Wakefern, have recently sent letters to their vendors explaining that the only way they will accept recall information is via the RRE, noted Brian Lynch, senior director of business and industry development for the Grocery Manufacturers Association, Washington, who also participated in the U Connect Live session. In an April letter posted on www.rapidrecallexchange.org, Kroger asked all of its suppliers to subscribe to the exchange by July 1.
Michael Roberson, director of corporate quality assurance for Publix Super Markets, Lakeland, Fla., said in the U Connect Live session that the chain is “disappointed” in the number of manufacturers using the Rapid Recall Exchange.
“Only 222 of our grocery suppliers are signed up, and more than 1,000 have not yet joined,” Roberson said. “We need to have the entire food industry collaborating on the Rapid Recall Exchange.”
Last year, of the 300 recalls Publix experienced, fewer than 50 went through the RRE, he said, adding that industrywide only 15% of recalls were submitted to the RRE. A total of 65 recalls have been issued through the exchange industrywide since its September 2009 launch.
For recalls that went through the RRE at Publix, Roberson observed “the absolute excellence in the information that was communicated,” including product GTINs (global trade identification numbers), the reason for the recall, and photos. “If we get this information from our trading partners using RRE, then we eliminate most of the [internal] steps because everything works together through this tool,” he said. By contrast, for recalls that don't go through the RRE, “nine times out of 10 we're going back to trading partners and seeking out additional information.”
Publix has been proactive in urging manufacturers to join the exchange, Roberson said. In addition, Publix has expanded its supplier scorecard to monitor and rank suppliers on whether they leverage the RRE.
The RRE was created by FMI and GS1 US, Lawrenceville, N.J., which will be issuing a new version of the exchange, 2.3, in August.",<urn:uuid:5c2cac9e-2fda-4194-959b-6ede0668ad2a>,CC-MAIN-2013-20,http://supermarketnews.com/food-safety/more-suppliers-sought-rapid-recall-exchange,2013-05-18T05:25:43Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.9552055597305298,708,True
"September 28, 2010
2010 Season - Bowman pulls down CCIW honor
|Matt Bowman was named CCIW ""Runner of the Week"" after his fourth place finish at the Brissman-Lundeen Invitational in Rock Island, Illinois on September 24.|
Augustana senior Matt Bowman (Geneva HS, Elburn, Ill.) was selected as the “Runner of the Week” in the College Conference of Illinois & Wisconsin. Bowman’s strong performance helped the Vikings finish second at the Brissman-Lundeen Invitational at Augustana College in Rock Island, Illinois on Saturday, September 24. It was an impressive second place finish for head coach Paul Olsen’s crew as they beat four nationally ranked teams.
Augustana, ranked sixth in the latest U.S. Track & Field/Cross Country Coaches Association Division III Mideast Regional poll, was one of three teams ranked in the top 10 to compete at the meet. Wisconsin-Stevens Point, ranked fifth, took the team title with 23 points. Augustana finished second with 55 points while Wisconsin-Whitewater, the seventh ranked team in regional poll, placed third with 88 points. Olivet Nazarene took fourth (138), Truman State was fifth (150) and Greenville placed sixth (263).
The field also included a couple of ranked teams in the Division III Central Regional poll. Cornell College, ranked ninth, finished tenth in the team scores with 307 points. Grinnell, the number one ranked team in the Central region, finished 16th with 415 points.
Bowman led the way for Augustana with with a fourth place finish and a time of 25:10 over the 8,000 meter course. The Vikings had ten runners run a time of 26:01 or faster. Tim Thornburg of Wisconsin-Stevens Point won the individual race with a time of 24:58 while teammates Terry Witkowski and Joel Heroux finished second and third with times of 25:00 and 25:10, respectively.
Earlier this year, Bowman finished second overall at the Western Illinois Invitational in a time of 26:11 leading the Vikings to a team victory over a field that included Western Illinois, a Division I school. The next week Bowman was the second Viking runner to cross the line at the Illinois Intercollegiate Championships. He finished in a time of 25:49, which was good for a 26th place finish in a field made up of the top college runners in the state of Illinois.
Augustana, which has only lost to two NCAA Division III schools this year –North Central at the Illinois Intercollegiate meet on September 17 and this past week to Wisconsin-Stevens Point at the Brissman-Lundeen Invitational on September 24 – will have a weekend off before they head to Waverly, Iowa to run at the Wartburg Invite on Saturday, October 9.
Bowman, the son of Gary Bowman of Geneva, Illinois and Linda Bowman of Elburn, Illinois, is an art history major.",<urn:uuid:a42b6d10-fba9-4678-af39-5b242fdfe790>,CC-MAIN-2013-20,http://www.augustana.edu/x22236.xml,2013-05-18T06:32:30Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.95432049036026,626,False
"Kraft Foods has taken the Cadbury chocolate brand in a new direction, by combining it with cheese for the first time.
The company is bringing together two of its brands and launching Philadelphia with Cadbury, a chilled chocolate spread made from Philadelphia Light and Cadbury chocolate.
Kraft believes the new product has the potential to do very well and is targeting £10m in sales in the first year.
The new cheese and chocolate spread is being launched on 1 February and will be appear in the chilled dairy aisle next to plain Philadelphia Light.
It is launching in a 160g tub and a 120g four-pack of mini tubs, both with an rsp of £1.62.
Kraft is supporting the launch with a £3.2m marketing budget in 2012 and is targeting 2,000 tonnes in volume sales – equivalent to about £10m – in the first year.
If they reached this volume of sales, the new Philadelphia with Cadbury would have the same market value as Garlic & Herb, currently the biggest-selling flavour in the Philadelphia portfolio.
Kraft already offers chocolate variants of Philadelphia in Italy and Germany, using Milka chocolate and targeting the breakfast occasion.
In Germany, Philadelphia with Milka has generated €22.2m in sales since its October 2010 launch and has a 6.6% value share of the chocolate spread market.
Kraft Foods UK marketing manager Bruce Newman said:
“The UK product would be positioned as a snack.
“The breakfast market in countries such as Germany is more developed, and our consumer research firmly identified Philadelphia with Cadbury as a snack.”",<urn:uuid:8ba5fa5a-1f92-4f5a-95e3-85dbb7befbfe>,CC-MAIN-2013-20,http://www.fdin.org.uk/2012/01/kraft-launches-new-philadelphia-with-cadbury/,2013-05-18T05:59:16Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.9671564102172852,337,True
"You must be a registered member to view this page.|
If you are already a member, sign in now.
To register for your own account, sign up now.
Signing up will REMOVE MOST OF THE ANNOYING ADS from your screen.
CLICK HERE TO CREATE YOUR ACCOUNT
- Get advice
- Make friends
- Share your expertise
- Post in our forums
- Send private messages
- Join interest groups
- Be a community leader
- Track your mood
- Upload photos",<urn:uuid:528ab539-c6ba-441e-8389-65704e6c3be1>,CC-MAIN-2013-20,http://www.golivewire.com/forums/profile.cgi?p=539041910,2013-05-18T05:25:00Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.8736406564712524,110,False
"|Facility Type:||Full Service Restaurant|
|Inspection date:||March 27, 2012|
|Number of critical violations:||3|
|Number of non-critical violations:||3|
Definition of critical and non critical violations
|Code||Observation / Corrective Action|
|2-201.11(A)(1)-(5)|| Critical Repeat Upon discussion with the person-in-charge, one or more of the elements of an effective employee health policy is either missing or incomplete. A complete employee health policy is required to be in place at the food establishment. At the time of this inspection, the Health Department provided and reviewed handouts and resource information to be used by the person-in-charge to develop a complete employee health policy.|
A complete employee health policy must have the following elements: 1) Employee training on foodborne illness, particularly symptoms of illness and prevention of the Big Five illnesses (see ""The Big Five Foodborne Illnesses Information Sheet"" handout); and 2) Documentation that employees have been instructed of their responsibility to report symptoms of, diagnosis of or exposure to foodborne illness to management (see ""Employee Health Agreement"" handout); and 3) A management plan to restrict or exclude employees, as applicable, who have symptoms, diagnosis or exposure to foodborne illness (see ""Employee Illness Decision Guide for PIC/CFM"" handout). The information provided at the time of this inspection will help you develop and implement this policy. Handouts are available in the following languages: English, Chinese (traditional), Korean, Spanish, Thai, and Vietnamese. If you have any questions about your employee health policy, please contact your area inspector or contact the Health Department at 703-246-2444, TTY 703-591-6435.
|2-301.15||Corrected During Inspection Two food employees were observed cleaning their hands in three compartment sink.|
ALL food employees shall wash their hands in ONLY a designated handsink.
|3-301.11(B)||Corrected During Inspection Critical A food employee was observed handling the following ready-to-eat food using their bare hands: bean sprouts and spring rolls.|
Except when washing fruits and vegetables, food employees may not contact ready-to-eat foods using their bare hands. Employees shall use suitable utensils such as deli tissue, spatulas, tongs, or clean disposable gloves to handle all ready-to-eat foods.
|5-205.11(A)||Corrected During Inspection Repeat The handwashing facility located in the kitchen is blocked by a rolling cart with meat slicer, preventing access by employees for easy handwashing.|
A handwashing sink shall be maintained so that it is accessible at all times for employee use.
|3-501.16(A)(2)(a)||Corrected During Inspection Critical The following food item(s) were observed cold holding at improper temperatures using a calibrated food temperature measuring device: bean sprout (56F) - moved to cooler. Manager will ice bean sprouts to keep temperature at or under 41F.|
Potentially hazardous foods (time/temperature control for safety food) shall be held cold at a temperature of 41°F or below unless the permit holder is using ""time as public health control"" as specified under 3-501.19 to limit bacteria growth.
|3-305.11(A)(3)|| Food stored on the floor and/or food stored less than 6 inches off the floor: in the freezer. |
Food shall be protected from contamination by storing the food at least 6 inches off the floor on approved shelving units or dunnage racks. Milk crates, soda crates, or bread racks are not suitable for food storage.",<urn:uuid:4ad1d60f-e986-44b4-8b58-e833a6dddba8>,CC-MAIN-2013-20,http://www.healthspace.com/Clients/VDH/Fairfax/Fairfax_Website.nsf/Food-InspectionDetails?OpenView&RestrictToCategory=AF99497F42E1C5CA852579CF006E7C6D&Count=1000,2013-05-18T05:29:56Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.9124612212181091,786,True
"News of the Week
Barrie Spring Studio Tour
April 27th & 28th
10:00 til 4:00 pm
Come on down to Jill Price Studios this weekend to check out works I have created over the last year, as well as find some neat works from my artistic past in tje awesome sales bins created just for this weekend. You will also be able to see the upcycled creations of Lisa Brunetta. From popcan earrings to oil paintings of beach scenes, you may not need to head anywhere else.
Hit us first, if you still need to pick up a brochure.
Upcoming Workshops @ Jill Price Studios Online
I am offering a new series of workshops out of Gallery 111 starting this May. Web Savvy seminars for Creatives will help you build your online presence in an exciting and creative way so that you'll barely know you're doing business. To read about the workshops, click on the document below.
Also, the video of my Art Battle experience is now completed and posted on Vimeo. Watch parts 1 - 3 to get the full effect.
Rural Transitions: Team Selected
Latcham Annual Juried Exhibition
Sat. Apr.27 - Sat. June 1, 2013
Opening reception Sat. Apr. 27 1-3 pm.
I just found out that one of my mixed media textiles will be featured in the Latcham Gallery Annual Juried Exhibition this year. Selected by the jurors Katerina Atanassova, curator at the McMichael Canadian Art Collection in Kleinburg, Laura Millard, artist and professor at OCAD University in Toronto
and Sean McQuay, artist and professor at Durham College in Oshawa, I feel extremely honoured. Giving a juror's talk next Wednesday, I hope to speak with them directly and get some immediate feedback to my work. One of the coolest things about the Latcham gallery, is that it is right beside the sally ann in Stouville. A one stop shop for any artist!",<urn:uuid:7bc4fe2c-c860-45d0-91f4-7cb5d3800e66>,CC-MAIN-2013-20,http://www.jillpricestudios.ca/artist/website/size/big,2013-05-18T05:49:28Z,s3://commoncrawl/crawl-data/CC-MAIN-2013-20/segments/1368696381249/warc/CC-MAIN-20130516092621-00000-ip-10-60-113-184.ec2.internal.warc.gz,en,0.9254708290100098,415,False
